           1 -0.170249999      -3.03399992    
         445  -4.67500016E-02  -31.8635006    
         446  -6.59999996E-02  -31.9360008    
         447  -6.54999986E-02  -32.0094986    
         448  -2.62499992E-02  -32.0735016    
         449  -6.32499978E-02  -32.1394997    
         450  -8.82499963E-02  -32.2244987    
         451  -6.62499964E-02  -32.2905006    
         452  -5.05000018E-02  -32.3564987    
         453  -5.47499992E-02  -32.4239998    
         454  -4.94999997E-02  -32.4770012    
         455  -3.35000008E-02  -32.5405006    
         456  -5.22500016E-02  -32.6160011    
         457  -6.47500008E-02  -32.7044983    
         458  -4.45000008E-02  -32.7799988    
         459  -5.92500009E-02  -32.8390007    
         460  -4.80000004E-02  -32.9075012    
         461  -3.12500000E-02  -32.9799995    
         462  -4.67500016E-02  -33.0405006    
         463  -5.02500013E-02  -33.0999985    
         464  -4.19999994E-02  -33.1650009    
         465  -5.72500005E-02  -33.2340012    
         466  -5.17500006E-02  -33.3110008    
         467  -6.30000010E-02  -33.3795013    
         468  -7.22500011E-02  -33.4350014    
         469  -6.62499964E-02  -33.4790001    
         470  -5.77500015E-02  -33.5434990    
         471  -5.62499985E-02  -33.6199989    
         472  -6.49999976E-02  -33.6845016    
         473  -4.17499989E-02  -33.7574997    
         474  -5.72500005E-02  -33.8149986    
         475  -7.12499991E-02  -33.8779984    
         476  -7.62500018E-02  -33.9365005    
         477  -6.32499978E-02  -34.0050011    
         478  -7.87499994E-02  -34.0854988    
         479  -7.02499971E-02  -34.1380005    
         480  -5.22500016E-02  -34.2084999    
         481  -4.89999987E-02  -34.2784996    
         482  -4.85000014E-02  -34.3349991    
         483  -5.72500005E-02  -34.4070015    
         484  -4.02499996E-02  -34.4635010    
         485  -1.95000004E-02  -34.5335007    
         486  -5.67499995E-02  -34.6025009    
         487  -5.72500005E-02  -34.6570015    
         488  -4.45000008E-02  -34.7200012    
         489  -4.34999987E-02  -34.7840004    
         490  -4.89999987E-02  -34.8535004    
         491  -3.82499993E-02  -34.9095001    
         492  -5.00000007E-02  -34.9804993    
         493  -4.30000015E-02  -35.0475006    
         494  -4.12500016E-02  -35.1204987    
         495  -4.10000011E-02  -35.1945000    
         496  -4.14999984E-02  -35.2579994    
         497  -2.74999999E-02  -35.3144989    
         498  -4.77499999E-02  -35.3875008    
         499  -4.60000001E-02  -35.4560013    
         500  -4.89999987E-02  -35.5139999    
         501  -4.57499996E-02  -35.5724983    
         502  -5.64999990E-02  -35.6355019    
         503  -5.72500005E-02  -35.6985016    
         504  -5.57500012E-02  -35.7724991    
         505  -3.99999991E-02  -35.8250008    
         506  -3.84999998E-02  -35.8945007    
         507  -2.99999993E-02  -35.9555016    
         508  -3.97499986E-02  -36.0270004    
         509  -3.79999988E-02  -36.0994987    
         510  -3.87500003E-02  -36.1699982    
         511  -4.02499996E-02  -36.2304993    
         512  -2.22500004E-02  -36.3040009    
         513  -1.02500003E-02  -36.3735008    
         514  -1.07500004E-02  -36.4360008    
         515  -1.25000002E-02  -36.4959984    
         516  -3.09999995E-02  -36.5514984    
         517  -1.89999994E-02  -36.6139984    
         518  -1.44999996E-02  -36.6834984    
         519  -5.75000001E-03  -36.7574997    
         520  -1.57500003E-02  -36.8334999    
         521  -3.12500000E-02  -36.9054985    
         522  -1.99999996E-02  -36.9684982    
         523  -2.82499995E-02  -37.0304985    
         524  -2.77500004E-02  -37.0880013    
         525  -1.92499999E-02  -37.1544991    
         526  -1.87500007E-02  -37.2314987    
         527  -2.72499993E-02  -37.3019981    
         528  -1.64999999E-02  -37.3644981    
         529  -2.82499995E-02  -37.4440002    
         530  -1.52500002E-02  -37.5180016    
         531  -1.35000004E-02  -37.5815010    
         532  -2.62499992E-02  -37.6464996    
         533  -4.27500010E-02  -37.7184982    
         534  -1.27499998E-02  -37.7879982    
         535  -2.74999999E-02  -37.8614998    
         536  -1.22499997E-02  -37.9280014    
         537  -1.52500002E-02  -37.9864998    
         538  -3.42499986E-02  -38.0545006    
         539  -3.42499986E-02  -38.1235008    
         540  -2.32500006E-02  -38.1899986    
         541  -1.22499997E-02  -38.2680016    
         542  -3.99999991E-02  -38.3359985    
         543  -3.52500007E-02  -38.4059982    
         544  -2.07499992E-02  -38.4720001    
         545  -2.27499995E-02  -38.5214996    
         546  -2.82499995E-02  -38.5864983    
         547  -1.95000004E-02  -38.6559982    
         548  -3.59999985E-02  -38.7294998    
         549  -2.05000006E-02  -38.7765007    
