 Iterations, Maximum_Neighbours
       38920 ,         101
       38960 ,         103
       39000 ,         105
       39040 ,         105
       39080 ,         102
       39120 ,         104
       39160 ,         108
       39200 ,         110
       39240 ,         108
       39280 ,         104
       39320 ,         103
       39360 ,         101
       39400 ,         100
       39440 ,          97
       39480 ,          96
       39520 ,          95
       39560 ,          92
       39600 ,          88
       39640 ,          86
       39680 ,          87
       39720 ,          87
       39760 ,          87
       39800 ,          88
       39840 ,          92
       39880 ,          92
       39920 ,          91
       39960 ,          91
       40000 ,          91
       40040 ,          92
       40080 ,          92
       40120 ,          96
       40160 ,          96
       40200 ,          95
       40240 ,          96
       40280 ,          96
       40320 ,          95
       40360 ,          97
       40400 ,          92
       40440 ,          94
       40480 ,          94
       40520 ,          94
       40560 ,          93
       40600 ,          92
       40640 ,          96
       40680 ,          94
       40720 ,          93
       40760 ,          93
       40800 ,          93
       40840 ,          95
       40880 ,          93
       40920 ,          91
       40960 ,          88
       41000 ,          89
       41040 ,          87
       41080 ,          89
       41120 ,          90
       41160 ,          88
       41200 ,          88
       41240 ,          89
       41280 ,          87
       41320 ,          88
       41360 ,          87
       41400 ,          84
       41440 ,          87
       41480 ,          85
       41520 ,          90
       41560 ,          86
       41600 ,          84
       41640 ,          83
       41680 ,          82
       41720 ,          84
       41760 ,          87
       41800 ,          87
       41840 ,          88
       41880 ,          86
       41920 ,          87
       41960 ,          87
       42000 ,          88
       42040 ,          89
       42080 ,          91
       42120 ,          88
       42160 ,          87
       42200 ,          84
       42240 ,          87
       42280 ,          87
       42320 ,          86
       42360 ,          87
       42400 ,          88
       42440 ,          86
       42480 ,          86
       42520 ,          85
       42560 ,          86
       42600 ,          87
       42640 ,          87
       42680 ,          83
       42720 ,          86
       42760 ,          87
       42800 ,          92
       42840 ,          93
       42880 ,          92
       42920 ,          93
       42960 ,          90
       43000 ,          89
       43040 ,          91
       43080 ,          89
       43120 ,          88
       43160 ,          87
       43200 ,          91
       43240 ,          89
       43280 ,          86
       43320 ,          86
       43360 ,          88
       43400 ,          87
       43440 ,          87
       43480 ,          89
       43520 ,          86
       43560 ,          88
       43600 ,          85
       43640 ,          84
       43680 ,          83
       43720 ,          85
       43760 ,          85
       43800 ,          85
       43840 ,          86
       43880 ,          87
       43920 ,          85
       43960 ,          87
       44000 ,          87
       44040 ,          87
       44080 ,          89
       44120 ,          85
       44160 ,          84
       44200 ,          84
       44240 ,          85
       44280 ,          85
       44320 ,          84
       44360 ,          86
       44400 ,          86
       44440 ,          88
       44480 ,          86
       44520 ,          88
       44560 ,          86
       44600 ,          85
       44640 ,          87
       44680 ,          87
       44720 ,          86
       44760 ,          88
       44800 ,          87
       44840 ,          86
       44880 ,          85
       44920 ,          85
       44960 ,          85
       45000 ,          86
       45040 ,          82
       45080 ,          84
       45120 ,          89
       45160 ,          91
       45200 ,          92
       45240 ,          89
       45280 ,          89
       45320 ,          88
       45360 ,          91
       45400 ,          89
       45440 ,          91
       45480 ,          92
       45520 ,          91
       45560 ,          91
       45600 ,          90
       45640 ,          88
       45680 ,          88
       45720 ,          88
       45760 ,          88
       45800 ,          89
       45840 ,          89
       45880 ,          89
       45920 ,          87
       45960 ,          88
       46000 ,          87
       46040 ,          87
       46080 ,          87
       46120 ,          88
       46160 ,          89
       46200 ,          87
       46240 ,          89
       46280 ,          86
       46320 ,          88
       46360 ,          89
       46400 ,          88
       46440 ,          88
       46480 ,          86
       46520 ,          86
       46560 ,          85
       46600 ,          83
       46640 ,          83
       46680 ,          85
       46720 ,          82
       46760 ,          83
       46800 ,          85
       46840 ,          83
       46880 ,          80
       46920 ,          81
       46960 ,          82
       47000 ,          80
       47040 ,          79
       47080 ,          81
       47120 ,          83
       47160 ,          78
       47200 ,          78
       47240 ,          79
       47280 ,          79
       47320 ,          79
       47360 ,          80
       47400 ,          85
       47440 ,          87
       47480 ,          88
       47520 ,          87
       47560 ,          90
       47600 ,          90
       47640 ,          89
       47680 ,          88
       47720 ,          88
       47760 ,          85
       47800 ,          83
       47840 ,          84
       47880 ,          82
       47920 ,          82
       47960 ,          84
       48000 ,          85
       48040 ,          84
       48080 ,          85
       48120 ,          84
       48160 ,          85
       48200 ,          88
       48240 ,          83
       48280 ,          81
       48320 ,          80
       48360 ,          81
       48400 ,          82
       48440 ,          82
       48480 ,          82
       48520 ,          85
       48560 ,          82
       48600 ,          80
       48640 ,          78
       48680 ,          80
       48720 ,          81
       48760 ,          80
       48800 ,          81
       48840 ,          80
       48880 ,          79
       48920 ,          77
       48960 ,          80
       49000 ,          79
       49040 ,          79
       49080 ,          79
       49120 ,          80
       49160 ,          81
       49200 ,          83
       49240 ,          83
       49280 ,          82
       49320 ,          83
       49360 ,          83
       49400 ,          79
       49440 ,          81
       49480 ,          79
       49520 ,          81
       49560 ,          80
       49600 ,          80
       49640 ,          79
       49680 ,          80
       49720 ,          80
       49760 ,          78
       49800 ,          77
       49840 ,          78
       49880 ,          79
       49920 ,          80
       49960 ,          78
       50000 ,          81
       50040 ,          81
       50080 ,          80
       50120 ,          83
       50160 ,          84
       50200 ,          81
       50240 ,          77
       50280 ,          84
       50320 ,          84
       50360 ,          82
       50400 ,          82
       50440 ,          82
       50480 ,          85
       50520 ,          83
       50560 ,          82
       50600 ,          79
       50640 ,          83
       50680 ,          82
       50720 ,          84
       50760 ,          83
       50800 ,          83
       50840 ,          81
       50880 ,          84
       50920 ,          88
       50960 ,          87
       51000 ,          86
       51040 ,          83
       51080 ,          82
       51120 ,          82
       51160 ,          83
       51200 ,          84
       51240 ,          84
       51280 ,          85
       51320 ,          88
       51360 ,          85
       51400 ,          83
       51440 ,          86
       51480 ,          87
       51520 ,          85
       51560 ,          85
       51600 ,          89
       51640 ,          87
       51680 ,          89
       51720 ,          87
